"DRV_STRT","DRV_LENGTH","NUM_DRVS","AVG_PNTS","AVG_YDS","PLAYS_PER_1STDWN","BLITZ_RATE","INT_RATE","FUMBLE_RATE","AVG_YDS_CARRY","AVG_YDS_ATT","AVG_YDS_PER_PLAY"
9,2,373,5.05,3,1.82,0.14,0.02,0.01,1.52,1.64,2.29
9,4,23,3.04,0,3.59,0.08,0,0,1.82,2.17,1.38
19,2,625,4.21,8,2.36,0.15,0.06,0.02,2.43,3.95,4.12
19,4,190,4.03,11,2.73,0.12,0.02,0.01,2.25,2.99,2.53
19,6,5,2.6,12,3.36,0.13,0,0,2.84,1.9,2.94
29,2,738,3.68,12,2.32,0.16,0.04,0.04,2.64,5.1,5.08
29,4,418,4,18,2.56,0.16,0.03,0.01,2.88,4.48,3.61
29,6,27,5.11,24,2.49,0.19,0,0,2.91,4.41,3.4
39,2,921,2.61,14,2.29,0.18,0.07,0.05,2.68,5.97,5.74
39,4,595,3.76,24,2.45,0.18,0.04,0.02,3.25,5.93,4.35
39,6,113,4.04,30,2.66,0.17,0.01,0.02,3.21,5.06,3.89
39,8,3,4.33,33,2.83,0.21,0,0,3.12,2.58,3.35
39,10,1,3,32,3.3,0.15,0,0,1.27,11.5,2.85
49,2,1356,1.64,13,2.29,0.19,0.08,0.05,2.51,5.84,5.38
49,4,1011,3.12,28,2.42,0.18,0.03,0.02,3.73,6.42,4.9
49,6,303,3.83,37,2.49,0.17,0.02,0.02,3.35,6.58,4.47
49,8,26,3.42,40,2.77,0.17,0.04,0.04,3.08,4.91,3.72
59,2,2424,1.17,15,2.27,0.22,0.12,0.07,2.59,6.85,6.12
59,4,1787,2.62,32,2.31,0.21,0.05,0.02,3.8,7.37,5.57
59,6,693,3.72,45,2.36,0.19,0.03,0.02,3.77,7.34,5.21
59,8,131,4.01,50,2.52,0.18,0.02,0.03,3.54,7.18,4.84
59,10,8,4.25,55,2.68,0.16,0,0,2.7,7.16,4.02
69,2,3935,0.8,14,2.35,0.22,0.12,0.07,2.71,5.98,5.72
69,4,3131,1.93,33,2.31,0.22,0.06,0.04,4.08,7.41,5.78
69,6,1425,3.47,51,2.28,0.2,0.04,0.03,4.13,8.06,5.82
69,8,323,4.09,59,2.35,0.18,0.05,0.02,3.71,7.44,5.24
69,10,53,3.83,60,2.48,0.19,0.04,0.04,3.26,6.74,4.56
69,11,2,3.5,63,2.95,0.19,0,0,2.65,6.47,4.17
79,2,8653,0.54,14,2.38,0.24,0.13,0.08,2.7,5.63,5.55
79,4,7303,1.5,35,2.3,0.23,0.07,0.04,4.12,7.85,6.14
79,6,3555,2.96,56,2.23,0.22,0.05,0.03,4.4,8.37,6.35
79,8,1200,3.79,66,2.33,0.2,0.04,0.03,3.99,7.89,5.64
79,10,211,3.76,69,2.44,0.18,0.03,0.01,3.56,7.03,4.99
79,11,30,3.9,72,2.52,0.14,0,0,3.61,6.03,4.66
89,2,3784,0.44,13,2.39,0.21,0.13,0.08,2.71,5.22,5.04
89,4,2904,1.13,35,2.32,0.23,0.08,0.04,4.07,7.77,6.13
89,6,1466,2.64,60,2.21,0.22,0.06,0.04,4.49,8.8,6.62
89,8,589,3.66,72,2.25,0.2,0.04,0.04,4.24,8.41,5.98
89,10,142,3.95,79,2.37,0.2,0.03,0.03,4.01,7.4,5.46
89,11,11,5,82,2.39,0.16,0,0,4,7.21,5.19
99,2,1762,0.33,12,2.37,0.18,0.11,0.06,2.68,4.66,4.69
99,4,1211,0.76,32,2.41,0.2,0.06,0.04,4.06,6.64,5.52
99,6,551,2.28,63,2.21,0.22,0.05,0.03,4.81,8.9,6.78
99,8,267,3.29,77,2.22,0.19,0.03,0.02,4.42,8.62,6.27
99,10,63,3.86,85,2.33,0.2,0.02,0.06,3.95,8.41,5.73
99,11,8,3.88,92,2.41,0.2,0.13,0,3.76,6.96,5.3
