Down ,YTG,1st Down %
1,1,91.1
1,2,86.6
1,3,84.9
1,4,79.5
1,5,80.6
1,6,74.3
1,7,72.1
1,8,69.4
1,9,66.1
1,10,69.1
1,11,58.9
1,12,60.8
1,13,61
1,14,58.2
1,15,54.9
1,16,54.7
1,17,48.4
1,18,43.1
1,19,56.8
1,20,43.3
1,21,54.2
1,22,40.8
1,23,39.6
1,24,44.3
1,25,34.8
1,26,42.1
1,27,71.4
1,28,50
1,29,42.9
1,30,26.8
1,31,100
1,32,0
1,33,0
1,34,0
1,35,9.1
1,37,0
1,39,0
1,40,0
1,42,0
1,45,100
2,1,90.2
2,2,86.7
2,3,82.1
2,4,77.8
2,5,72.7
2,6,68.8
2,7,64.3
2,8,59.4
2,9,55.7
2,10,54.7
2,11,48.2
2,12,43.8
2,13,43.9
2,14,41.2
2,15,39.7
2,16,37.9
2,17,36.5
2,18,33.2
2,19,32.9
2,20,28.8
2,21,28.6
2,22,23.9
2,23,22.8
2,24,25
2,25,22.1
2,26,20.2
2,27,21.5
2,28,19.1
2,29,20
2,30,16.1
2,31,20
2,32,18.2
2,33,14.3
2,34,11.1
2,35,0
2,36,16.7
2,37,0
2,38,0
2,40,33.3
2,42,25
2,46,0
2,56,0
3,1,80.4
3,2,68
3,3,59.7
3,4,54.2
3,5,48.3
3,6,44.5
3,7,40.4
3,8,36.6
3,9,34.8
3,10,33.8
3,11,30
3,12,25.8
3,13,23.1
3,14,22.7
3,15,21
3,16,19.4
3,17,17.6
3,18,15.1
3,19,16.2
3,20,12.4
3,21,13.3
3,22,10.1
3,23,7.5
3,24,10.4
3,25,9.6
3,26,8.4
3,27,6.7
3,28,7.7
3,29,8.6
3,30,10.4
3,31,3
3,32,0
3,33,0
3,34,16.7
3,35,0
3,36,0
3,37,0
3,38,0
3,39,25
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,47,0
3,49,0
3,57,0
4,1,69.7
4,2,57.3
4,3,49.1
4,4,44.3
4,5,41.3
4,6,38.7
4,7,33.7
4,8,30.7
4,9,34.9
4,10,30.2
4,11,29.4
4,12,25
4,13,23.6
4,14,21.6
4,15,25
4,16,14.3
4,17,16.7
4,18,14.8
4,19,11.9
4,20,10.8
4,21,10.5
4,22,20.8
4,23,0
4,24,8.3
4,25,0
4,26,20
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
4,34,0
4,35,0
4,36,0
4,39,0
4,40,0
