"PLAYER","POS","MYGOAL","MY20","MY30","MY40","MY50","YOUR40","YOUR30","YOUR20","YOUR10","YOURGOAL"
"Drew Brees","QB",37.5,47.3,26.5,33.7,36.2,46.8,39.7,35.1,39.4,41.9
"Matt Ryan","QB",44.6,25.1,30,30.2,39.1,38.3,30,42.5,34.5,51.4
"Ben Roethlisberger","QB",40.4,36.5,28.3,34.5,37.2,38.6,50.7,25.4,33.2,36.5
"Ryan Tannehill","QB",33.9,38.5,25.4,32.2,32.7,30.8,43.3,37.5,33.9,36.1
"Andrew Luck","QB",33.9,24.9,25.8,36.2,36.9,22.1,39,44.8,32.1,34.5
"Peyton Manning","QB",77.5,43.3,25.3,29,34.6,35.7,32,35.2,47.3,41.9
"Tom Brady","QB",32.3,24.2,28.5,37,29.1,46.5,33.1,42.4,38.9,36.1
"Philip Rivers","QB",28.3,33.3,27.8,32.3,32.2,43.9,36.5,39.1,31,34.5
"Aaron Rodgers","QB",47.5,50.2,28.8,30,34,42.2,45.3,46.2,42.1,31.6
"Eli Manning","QB",47.5,23,28.9,28.6,25.1,32.7,37.3,57.5,23,40
"Jay Cutler","QB",41.3,30,25,18.2,34,36.4,25.5,37.9,37.8,40
"Matthew Stafford","QB",47.5,34.3,20.6,23,26.3,37.6,21.2,21.8,32.9,31.9
"Joe Flacco","QB",36,29.7,29.8,26.7,37.8,33.4,38.2,44.3,30.4,30
"Cam Newton","QB",8.6,32.9,24.3,31.2,39.8,29.2,39,32.5,27.2,40.2
"Colin Kaepernick","QB",56.3,46,15.8,35,22.9,25.4,28.5,19,35.3,31.2
"Russell Wilson","QB",47.5,45.5,16.6,27.9,36.8,30.8,25.4,31.9,34.7,26.1
"Derek Carr","QB",28.3,22.4,13.3,24.1,26.1,24.9,36,25.8,35,56.2
"Andy Dalton","QB",26.1,31.8,25.9,25.9,30.6,44.5,26.8,32.6,41.1,35.9
"Alex Smith","QB",26.1,35.2,25.1,31.7,22.4,35,42.2,33.2,35.6,28.6
"Tony Romo","QB",33.2,34.4,33,39.4,32.7,26.3,44.3,45.9,50.2,43.9
