"RANK","PLAYER","POS","TOTAL_SUCCSSPLAYS","MYGOAL","MY20","MY30","MY40","MY50","YOUR40","YOUR30","YOUR20","YOUR10","YOURGOAL","FIRSTDOWN","SECONDDOWN","THIRDDOWN","FOURTHDOWN","BIGJAM","JAM","YTG_10TO7","YTG_6TO4","YTG_UNDER4"
1,"Drew Brees","QB",379,40,57.6,52.6,52.5,53.5,61.1,51.5,45,47.3,50,53.5,55.5,46.1,63.6,37,46,50.2,63.5,63.5
2,"Matt Ryan","QB",348,47.1,35.4,56.1,49,56.4,52.6,41.8,52.4,42.4,59.5,52.4,54.8,40.8,50,27.3,31.8,52.6,62.5,53.3
3,"Ben Roethlisberger","QB",345,42.9,46.8,54.4,53.3,54.5,52.9,62.5,35.3,41.1,44.6,52.6,54.3,40.8,57.1,27.6,29.8,53.6,42.2,73.2
4,"Ryan Tannehill","QB",343,36.4,48.8,51.5,51,50,45.1,55.1,47.4,41.8,44.2,54.4,50.5,37.7,42.9,19.2,29.5,53.1,57,64.1
5,"Andrew Luck","QB",341,36.4,35.2,51.9,55,54.2,36.4,50.8,54.7,40,42.6,50.9,49.2,39.5,50,27.8,41.3,49.2,44.2,57.5
6,"Peyton Manning","QB",325,80,53.6,51.4,47.8,51.9,50,43.8,45.1,55.2,50,53.6,54.1,41.9,12.5,22.9,32.7,53.1,63,53
7,"Philip Rivers","QB",322,30.8,43.6,53.9,51.1,49.5,58.2,48.3,49,38.9,42.6,50.6,54.2,42.2,62.5,33.3,38.8,53.9,42.3,53.1
7,"Tom Brady","QB",322,34.8,34.5,54.6,55.8,46.4,60.8,44.9,52.3,46.8,44.2,53.8,48.8,44.8,58.3,25,38.3,51.1,57.1,57.8
9,"Aaron Rodgers","QB",315,50,60.5,54.9,48.8,51.3,56.5,57.1,56.1,50,39.7,55,52,48.7,42.9,28.1,28,56.8,49.2,66.1
10,"Eli Manning","QB",306,50,33.3,55,47.4,42.4,47,49.1,67.4,30.9,48.1,51.2,50,40.7,30,25,33.9,49.8,51.9,56.7
