player,field_pos,percentage
Andrew Luck,MYGOAL,36.4
Andrew Luck,MY20,35.2
Andrew Luck,MY30,51.9
Andrew Luck,MY40,55
Andrew Luck,MY50,54.2
Andrew Luck,YOUR40,36.4
Andrew Luck,YOUR30,50.8
Andrew Luck,YOUR20,54.7
Andrew Luck,YOUR10,40
Andrew Luck,YOURGOAL,42.6
Ryan Tannehill,MYGOAL,36.4
Ryan Tannehill,MY20,48.8
Ryan Tannehill,MY30,51.5
Ryan Tannehill,MY40,51
Ryan Tannehill,MY50,50
Ryan Tannehill,YOUR40,45.1
Ryan Tannehill,YOUR30,55.1
Ryan Tannehill,YOUR20,47.4
Ryan Tannehill,YOUR10,41.8
Ryan Tannehill,YOURGOAL,44.2
Peyton Manning,MYGOAL,80
Peyton Manning,MY20,53.6
Peyton Manning,MY30,51.4
Peyton Manning,MY40,47.8
Peyton Manning,MY50,51.9
Peyton Manning,YOUR40,50
Peyton Manning,YOUR30,43.8
Peyton Manning,YOUR20,45.1
Peyton Manning,YOUR10,55.2
Peyton Manning,YOURGOAL,50
Eli Manning,MYGOAL,50
Eli Manning,MY20,33.3
Eli Manning,MY30,55
Eli Manning,MY40,47.4
Eli Manning,MY50,42.4
Eli Manning,YOUR40,47
Eli Manning,YOUR30,49.1
Eli Manning,YOUR20,67.4
Eli Manning,YOUR10,30.9
Eli Manning,YOURGOAL,48.1
Philip Rivers,MYGOAL,30.8
Philip Rivers,MY20,43.6
Philip Rivers,MY30,53.9
Philip Rivers,MY40,51.1
Philip Rivers,MY50,49.5
Philip Rivers,YOUR40,58.2
Philip Rivers,YOUR30,48.3
Philip Rivers,YOUR20,49
Philip Rivers,YOUR10,38.9
Philip Rivers,YOURGOAL,42.6
Drew Brees,MYGOAL,40
Drew Brees,MY20,57.6
Drew Brees,MY30,52.6
Drew Brees,MY40,52.5
Drew Brees,MY50,53.5
Drew Brees,YOUR40,61.1
Drew Brees,YOUR30,51.5
Drew Brees,YOUR20,45
Drew Brees,YOUR10,47.3
Drew Brees,YOURGOAL,50
Ben Roethlisberger,MYGOAL,42.9
Ben Roethlisberger,MY20,46.8
Ben Roethlisberger,MY30,54.4
Ben Roethlisberger,MY40,53.3
Ben Roethlisberger,MY50,54.5
Ben Roethlisberger,YOUR40,52.9
Ben Roethlisberger,YOUR30,62.5
Ben Roethlisberger,YOUR20,35.3
Ben Roethlisberger,YOUR10,41.1
Ben Roethlisberger,YOURGOAL,44.6
Aaron Rodgers,MYGOAL,50
Aaron Rodgers,MY20,60.5
Aaron Rodgers,MY30,54.9
Aaron Rodgers,MY40,48.8
Aaron Rodgers,MY50,51.3
Aaron Rodgers,YOUR40,56.5
Aaron Rodgers,YOUR30,57.1
Aaron Rodgers,YOUR20,56.1
Aaron Rodgers,YOUR10,50
Aaron Rodgers,YOURGOAL,39.7
Matt Ryan,MYGOAL,47.1
Matt Ryan,MY20,35.4
Matt Ryan,MY30,56.1
Matt Ryan,MY40,49
Matt Ryan,MY50,56.4
Matt Ryan,YOUR40,52.6
Matt Ryan,YOUR30,41.8
Matt Ryan,YOUR20,52.4
Matt Ryan,YOUR10,42.4
Matt Ryan,YOURGOAL,59.5
Tom Brady,MYGOAL,34.8
Tom Brady,MY20,34.5
Tom Brady,MY30,54.6
Tom Brady,MY40,55.8
Tom Brady,MY50,46.4
Tom Brady,YOUR40,60.8
Tom Brady,YOUR30,44.9
Tom Brady,YOUR20,52.3
Tom Brady,YOUR10,46.8
Tom Brady,YOURGOAL,44.2
